Root,Serial,Word,CurNode,CurTime,NextTime
7032,00-7032-0-0,iris,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7033,00-7033-0-0,denote,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7034,00-7034-0-0,signify,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2928,00-2928-0-0,indicate,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1568,00-1568-0-0,diagnose,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1573,00-1573-0-0,dialogue,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7035,00-7035-0-0,dialog,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6529,00-6529-0-0,whistle,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3573,00-3573-0-0,migration,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7036,00-7036-0-0,migrate,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5704,00-5704-0-0,surge,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7037,00-7037-0-0,federation,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7038,00-7038-0-0,federal,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7039,00-7039-0-0,evacuate,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7040,00-7040-0-0,evacuation,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4765,00-4765-0-0,remove,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1505,00-1505-0-0,depart,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7041,00-7041-0-0,stint,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2101,00-2101-0-0,extent,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7042,00-7042-0-0,refer,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7043,00-7043-0-0,maturity,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1091,00-1091-0-0,complicate,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3476,00-3476-0-0,margin,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5130,00-5130-0-0,series,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4372,00-4372-0-0,preserve,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7044,00-7044-0-0,grunt,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7045,00-7045-0-0,reginal,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2839,00-2839-0-0,illusion,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1342,00-1342-0-0,cruise,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3072,00-3072-0-0,internal,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7046,00-7046-0-0,hose,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7047,00-7047-0-0,intercept,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7048,00-7048-0-0,mirage,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7049,00-7049-0-0,ion,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7050,00-7050-0-0,ionizer,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7051,00-7051-0-0,pronounceable,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2047,00-2047-0-0,exclusively,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1981,00-1981-0-0,erosion,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6146,00-6146-0-0,unaware,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7052,00-7052-0-0,corrosion,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7053,00-7053-0-0,deterioration,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1678,00-1678-0-0,dispute,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3521,00-3521-0-0,mechanism,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6340,00-6340-0-0,vanish,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4788,00-4788-0-0,represent,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
242,00-0242-0-0,ambiguous,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5590,00-5590-0-0,strike,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6113,00-6113-0-0,tune,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1277,00-1277-0-0,counterpart,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3297,00-3297-0-0,legacy,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2690,00-2690-0-0,heritage,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2431,00-2431-0-0,gadget,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7054,00-7054-0-0,gadgetry,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7055,00-7055-0-0,silt,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
404,00-0404-0-0,atomic,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7056,00-7056-0-0,induce,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7057,00-7057-0-0,inducement,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7058,00-7058-0-0,inducible,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7059,00-7059-0-0,originate,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7060,00-7060-0-0,origination,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7061,00-7061-0-0,originator,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7062,00-7062-0-0,originative,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3684,00-3684-0-0,muddle,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1106,00-1106-0-0,compulsory,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7063,00-7063-0-0,mandatory,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7064,00-7064-0-0,enforced,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3945,00-3945-0-0,optional,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3132,00-3132-0-0,irritation,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3129,00-3129-0-0,irritate,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7065,00-7065-0-0,niche,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7066,00-7066-0-0,lavatory,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1054,00-1054-0-0,commercial,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7067,00-7067-0-0,submarine,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6422,00-6422-0-0,voluntary,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6421,00-6421-0-0,voluntarily,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7068,00-7068-0-0,respondent,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5888,00-5888-0-0,theoretical,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1452,00-1452-0-0,deduce,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7069,00-7069-0-0,impede,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3282,00-3282-0-0,leak,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3172,00-3172-0-0,juggle,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5660,00-5660-0-0,suitably,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1034,00-1034-0-0,comb,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7070,00-7070-0-0,anthropologist,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6583,00-6583-0-0,withstand,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1162,00-1162-0-0,consequently,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5933,00-5933-0-0,thrive,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4867,00-4867-0-0,reverse,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7071,00-7071-0-0,reversalmreversible,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2060,00-2060-0-0,exile,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7072,00-7072-0-0,expel,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7073,00-7073-0-0,banish,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7074,00-7074-0-0,banished,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1058,00-1058-0-0,committee,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7075,00-7075-0-0,gloss,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4673,00-4673-0-0,recruit,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4674,00-4674-0-0,recruitment,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7076,00-7076-0-0,recruiter,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1071,00-1071-0-0,comparative,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7077,00-7077-0-0,comparatively,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4566,00-4566-0-0,quotation,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4790,00-4790-0-0,representative,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7078,00-7078-0-0,precision,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7079,00-7079-0-0,decrepit,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7080,00-7080-0-0,decrepitude,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4439,00-4439-0-0,profit,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4440,00-4440-0-0,profitable,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7081,00-7081-0-0,attest,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5592,00-5592-0-0,striking,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5629,00-5629-0-0,substitute,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7082,00-7082-0-0,clamour,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7083,00-7083-0-0,proclamation,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7084,00-7084-0-0,reclamation,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1646,00-1646-0-0,discretion,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1645,00-1645-0-0,discreet,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4719,00-4719-0-0,regulate,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1564,00-1564-0-0,device,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7085,00-7085-0-0,dub,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1273,00-1273-0-0,counsellor,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6133,00-6133-0-0,ultimate,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7086,00-7086-0-0,astrology,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7087,00-7087-0-0,dedicate,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7088,00-7088-0-0,devote,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7089,00-7089-0-0,divisional,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7090,00-7090-0-0,equator,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7091,00-7091-0-0,expel,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7092,00-7092-0-0,fauna,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
662,00-0662-0-0,brass,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7093,00-7093-0-0,cardiovascular,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7094,00-7094-0-0,intersection,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7095,00-7095-0-0,trapeze,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7096,00-7096-0-0,crossroad,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1225,00-1225-0-0,convention,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1226,00-1226-0-0,conventional,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7097,00-7097-0-0,conventionally,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6162,00-6162-0-0,unconventional,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7098,00-7098-0-0,consignment,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
641,00-0641-0-0,bother,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7099,00-7099-0-0,outpost,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7100,00-7100-0-0,intestine,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2946,00-2946-0-0,industrious,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7101,00-7101-0-0,vertebrate,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2917,00-2917-0-0,incredible,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7102,00-7102-0-0,pierce,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7103,00-7103-0-0,execution,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2049,00-2049-0-0,execute,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7104,00-7104-0-0,executioner,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1094,00-1094-0-0,compliment,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
4331,00-4331-0-0,praise,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7105,00-7105-0-0,apprise,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6309,00-6309-0-0,urban,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7106,00-7106-0-0,urbanization,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1103,00-1103-0-0,comprise,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1098,00-1098-0-0,compose,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7107,00-7107-0-0,wean,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7108,00-7108-0-0,fossil,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7109,00-7109-0-0,radius,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3525,00-3525-0-0,medication,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1829,00-1829-0-0,economical,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7110,00-7110-0-0,distill,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7111,00-7111-0-0,slum,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7112,00-7112-0-0,alluvial,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6561,00-6561-0-0,windscreen,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7113,00-7113-0-0,tangibly,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6397,00-6397-0-0,virtually,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1541,00-1541-0-0,destiny,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7114,00-7114-0-0,dynasty,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7115,00-7115-0-0,evaporate,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7116,00-7116-0-0,evaporation,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
6340,00-6340-0-0,vanish,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7117,00-7117-0-0,vaporize,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2065,00-2065-0-0,exotic,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2318,00-2318-0-0,foreign,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
3729,00-3729-0-0,native,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7118,00-7118-0-0,indigenous,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
1116,00-1116-0-0,concern,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
5126,00-5126-0-0,sequence,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
2854,00-2854-0-0,immigrant,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
7119,00-7119-0-0,bolster,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
