Root,Serial,Level,Part of Speech,addition,Explaination,ExplainationE,ExplainationC
0398,01-0398-10-2,A1,preposition,-,,-,-
0398,01-0398-10-3,A1,preposition,-,,-,-
0398,01-0398-10-4,A1,preposition,-,,-,-
0002,01-0002-08-1,A1,noun,-,,-,-
0445,01-0445-08-1,A1,noun,-,,-,-
0448,01-0448-02-1,A1,adverb,-,,-,-
0460,01-0460-01-1,A1,adjective,-,,-,-
0465,01-0465-08-1,A1,noun,-,,-,-
0474,01-0474-08-1,A1,noun,-,,-,-
0478,01-0478-08-1,A1,noun,-,,-,-
0479,01-0479-08-1,A1,noun,-,,-,-
0482,01-0482-08-1,A1,noun,-,,-,-
0487,01-0487-08-1,A1,noun,-,,-,-
0505,01-0505-08-1,A1,noun,-,,-,-
0507,01-0507-08-1,A1,noun,-,,-,-
0507,01-0507-08-2,A1,noun,-,,-,-
0508,01-0508-08-1,A1,noun,-,,-,-
0512,01-0512-12-1,A1,verb,-,,-,-
0513,01-0513-08-1,A1,noun,-,,-,-
0518,01-0518-08-1,A1,noun,-,,-,-
0520,01-0520-01-1,A1,adjective,-,,-,-
0520,01-0520-01-2,A1,adjective,-,,-,-
0523,01-0523-04-1,A1,conjunction,-,,-,-
0525,01-0525-08-1,A1,noun,-,,-,-
0526,01-0526-08-1,A1,noun,-,,-,-
0529,01-0529-08-1,A1,noun,-,,-,-
0530,01-0530-10-1,A1,preposition,-,,-,-
0532,01-0532-12-1,A1,verb,-,,-,-
0537,01-0537-10-1,A1,preposition,-,,-,-
0543,01-0543-02-1,A1,adverb,-,,-,-
0553,01-0553-01-1,A1,adjective,-,,-,-
0553,01-0553-02-2,A1,adverb,-,,-,-
0557,01-0557-01-1,A1,adjective,-,,-,-
0557,01-0557-01-2,A1,adjective,-,,-,-
0558,01-0558-10-1,A1,preposition,-,,-,-
0558,01-0558-10-2,A1,preposition,-,,-,-
0558,01-0558-10-3,A1,preposition,-,,-,-
0565,01-0565-01-1,A1,adjective,-,,-,-
0576,01-0576-08-1,A1,noun,-,,-,-
0578,01-0578-08-1,A1,noun,-,,-,-
0579,01-0579-08-1,A1,noun,-,,-,-
0584,01-0584-01-1,A1,adjective,-,,-,-
0606,01-0606-01-1,A1,adjective,-,,-,-
0609,01-0609-08-1,A1,noun,-,,-,-
0612,01-0612-08-1,A1,noun,-,,-,-
0613,01-0613-08-1,A1,noun,-,,-,-
0625,01-0625-08-1,A1,noun,-,,-,-
0635,01-0635-01-1,A1,adjective,-,,-,-
0636,01-0636-01-1,A1,adjective,-,,-,-
0640,01-0640-05-1,A1,determiner,-,,-,-
0644,01-0644-08-1,A1,noun,-,,-,-
0650,01-0650-08-1,A1,noun,-,,-,-
0652,01-0652-08-1,A1,noun,-,,-,-
0666,01-0666-08-1,A1,noun,-,,-,-
0670,01-0670-08-1,A1,noun,-,,-,-
0700,01-0700-08-1,A1,noun,-,,-,-
0702,01-0702-01-1,A1,adjective,-,,-,-
0736,01-0736-08-1,A1,noun,-,,-,-
0740,01-0740-08-1,A1,noun,-,,-,-
0744,01-0744-04-1,A1,conjunction,-,,-,-
0746,01-0746-08-1,A1,noun,-,,-,-
0749,01-0749-12-1,A1,verb,-,,-,-
0753,01-0753-06-1,A1,exclamation,-,,-,-
0759,01-0759-08-1,A1,noun,-,,-,-
0761,01-0761-08-1,A1,noun,-,,-,-
0771,01-0771-08-1,A1,noun,-,,-,-
0777,01-0777-07-1,A1,modal verb,-,,-,-
0777,01-0777-07-2,A1,modal verb,-,,-,-
0777,01-0777-07-3,A1,modal verb,-,,-,-
0777,01-0777-07-4,A1,modal verb,-,,-,-
0785,01-0785-07-1,A1,modal verb,-,,-,-
0797,01-0797-08-1,A1,noun,-,,-,-
0820,01-0820-12-1,A1,verb,-,,-,-
0832,01-0832-08-1,A1,noun,-,,-,-
0835,01-0835-12-1,A1,verb,-,,-,-
0835,01-0835-12-2,A1,verb,-,,-,-
0003,01-0003-08-1,A1,noun,-,,-,-
0004,01-0004-08-1,A1,noun,-,,-,-
0868,01-0868-08-1,A1,noun,-,,-,-
0876,01-0876-12-1,A1,verb,-,,-,-
0896,01-0896-01-1,A1,adjective,-,,-,-
0908,01-0908-08-1,A1,noun,-,,-,-
0922,01-0922-08-1,A1,noun,-,,-,-
0930,01-0930-08-1,A1,noun,-,,-,-
0931,01-0931-08-1,A1,noun,-,,-,-
0935,01-0935-12-1,A1,verb,-,,-,-
0941,01-0941-08-1,A1,noun,-,,-,-
0949,01-0949-08-1,A1,noun,-,,-,-
0959,01-0959-08-1,A1,noun,-,,-,-
0959,01-0959-08-2,A1,noun,-,,-,-
0965,01-0965-08-1,A1,noun,-,,-,-
0967,01-0967-01-1,A1,adjective,-,,-,-
0967,01-0967-12-2,A1,verb,-,,-,-
0971,01-0971-01-1,A1,adjective,-,,-,-
0984,01-0984-08-1,A1,noun,-,,-,-
0985,01-0985-12-1,A1,verb,-,,-,-
0985,01-0985-01-2,A1,adjective,-,,-,-
0986,01-0986-01-1,A1,adjective,-,,-,-
0986,01-0986-01-2,A1,adjective,-,,-,-
0991,01-0991-08-1,A1,noun,-,,-,-
1007,01-1007-08-1,A1,noun,-,,-,-
1011,01-1011-08-1,A1,noun,-,,-,-
1018,01-1018-01-1,A1,adjective,-,,-,-
1031,01-1031-08-1,A1,noun,-,,-,-
1031,01-1031-12-2,A1,verb,-,,-,-
1038,01-1038-12-1,A1,verb,-,,-,-
1038,01-1038-12-2,A1,verb,-,,-,-
1038,01-1038-12-3,A1,verb,-,,-,-
1107,01-1107-08-1,A1,noun,-,,-,-
1227,01-1227-08-1,A1,noun,-,,-,-
1236,01-1236-12-1,A1,verb,-,,-,-
1279,01-1279-08-1,A1,noun,-,,-,-
1287,01-1287-08-1,A1,noun,-,,-,-
1294,01-1294-08-1,A1,noun,-,,-,-
1316,01-1316-08-1,A1,noun,-,,-,-
1332,01-1332-08-1,A1,noun,-,,-,-
1354,01-1354-08-1,A1,noun,-,,-,-
1384,01-1384-08-1,A1,noun,-,,-,-
1391,01-1391-08-1,A1,noun,-,,-,-
1391,01-1391-12-2,A1,verb,-,,-,-
1393,01-1393-08-1,A1,noun,-,,-,-
1397,01-1397-01-1,A1,adjective,-,,-,-
1403,01-1403-08-1,A1,noun,-,,-,-
1405,01-1405-08-1,A1,noun,-,,-,-
1408,01-1408-08-1,A1,noun,-,,-,-
1423,01-1423-01-1,A1,adjective,-,,-,-
0011,01-0011-08-1,A1,noun,-,,-,-
1532,01-1532-08-1,A1,noun,-,,-,-
1579,01-1579-08-1,A1,noun,-,,-,-
1580,01-1580-12-1,A1,verb,-,,-,-
1585,01-1585-01-1,A1,adjective,-,,-,-
1588,01-1588-01-1,A1,adjective,-,,-,-
1602,01-1602-08-1,A1,noun,-,,-,-
1601,01-1601-08-1,A1,noun,-,,-,-
1721,01-1721-03-1,A1,auxiliary verb,-,,-,-
1721,01-1721-12-2,A1,verb,-,,-,-
1721,01-1721-12-3,A1,verb,-,,-,-
1723,01-1723-08-1,A1,noun,-,,-,-
1726,01-1726-08-1,A1,noun,-,,-,-
1727,01-1727-08-1,A1,noun,-,,-,-
1728,01-1728-08-1,A1,noun,-,,-,-
1741,01-1741-08-1,A1,noun,-,,-,-
1748,01-1748-02-1,A1,adverb,-,,-,-
1766,01-1766-12-1,A1,verb,-,,-,-
1773,01-1773-08-1,A1,noun,-,,-,-
1776,01-1776-08-1,A1,noun,-,,-,-
1776,01-1776-12-2,A1,verb,-,,-,-
1777,01-1777-12-1,A1,verb,-,,-,-
1778,01-1778-08-1,A1,noun,-,,-,-
0010,01-0010-08-1,A1,noun,-,,-,-
1803,01-1803-11-1,A1,pronoun,-,,-,-
1803,01-1803-05-2,A1,determiner,-,,-,-
1808,01-1808-08-1,A1,noun,-,,-,-
1810,01-1810-02-1,A1,adverb,-,,-,-
1820,01-1820-01-1,A1,adjective,-,,-,-
1822,01-1822-12-1,A1,verb,-,,-,-
1822,01-1822-12-2,A1,verb,-,,-,-
1850,01-1850-08-1,A1,noun,-,,-,-
1851,01-1851-09-1,A1,number,-,,-,-
1852,01-1852-09-1,A1,number,-,,-,-
1876,01-1876-09-1,A1,number,-,,-,-
1884,01-1884-08-1,A1,noun,-,,-,-
1884,01-1884-08-2,A1,noun,-,,-,-
1917,01-1917-08-1,A1,noun,-,,-,-
1936,01-1936-12-1,A1,verb,-,,-,-
2002,01-2002-08-1,A1,noun,-,,-,-
2008,01-2008-05-1,A1,determiner,-,,-,-
2008,01-2008-05-2,A1,determiner,-,,-,-
2027,01-2027-08-1,A1,noun,-,,-,-
2039,01-2039-01-1,A1,adjective,-,,-,-
2042,01-2042-01-1,A1,adjective,-,,-,-
2075,01-2075-01-1,A1,adjective,-,,-,-
2116,01-2116-08-1,A1,noun,-,,-,-
2123,01-2123-08-1,A1,noun,-,,-,-
2132,01-2132-08-1,A1,noun,-,,-,-
2147,01-2147-08-1,A1,noun,-,,-,-
2149,01-2149-01-1,A1,adjective,-,,-,-
2159,01-2159-08-1,A1,noun,-,,-,-
2168,01-2168-01-1,A1,adjective,-,,-,-
2171,01-2171-01-1,A1,adjective,-,,-,-
2174,01-2174-08-1,A1,noun,-,,-,-
2182,01-2182-01-1,A1,adjective,-,,-,-
0013,01-0013-08-1,A1,noun,-,,-,-
2197,01-2197-12-1,A1,verb,-,,-,-
2214,01-2214-09-1,A1,number,-,,-,-
2222,01-2222-08-1,A1,noun,-,,-,-
2231,01-2231-12-1,A1,verb,-,,-,-
2232,01-2232-01-1,A1,adjective,-,,-,-
2236,01-2236-12-1,A1,verb,-,,-,-
2236,01-2236-12-2,A1,verb,-,,-,-
2246,01-2246-01-1,A1,adjective,-,,-,-
2246,01-2246-02-2,A1,adverb,-,,-,-
2251,01-2251-08-1,A1,noun,-,,-,-
2251,01-2251-08-2,A1,noun,-,,-,-
2257,01-2257-09-1,A1,number,-,,-,-
2265,01-2265-08-1,A1,noun,-,,-,-
2279,01-2279-08-1,A1,noun,-,,-,-
2284,01-2284-08-1,A1,noun,-,,-,-
2292,01-2292-12-1,A1,verb,-,,-,-
2303,01-2303-08-1,A1,noun,-,,-,-
2307,01-2307-08-1,A1,noun,-,,-,-
2308,01-2308-08-1,A1,noun,-,,-,-
2308,01-2308-08-2,A1,noun,-,,-,-
2311,01-2311-10-1,A1,preposition,-,,-,-
2311,01-2311-10-2,A1,preposition,-,,-,-
2351,01-2351-09-1,A1,number,-,,-,-
2352,01-2352-09-1,A1,number,-,,-,-
0014,01-0014-08-1,A1,noun,-,,-,-
2379,01-2379-08-1,A1,noun,-,,-,-
2389,01-2389-10-1,A1,preposition,-,,-,-
2389,01-2389-10-2,A1,preposition,-,,-,-
2389,01-2389-10-3,A1,preposition,-,,-,-
2389,01-2389-10-4,A1,preposition,-,,-,-
2395,01-2395-08-1,A1,noun,-,,-,-
2410,01-2410-08-1,A1,noun,-,,-,-
2418,01-2418-01-1,A1,adjective,-,,-,-
2436,01-2436-08-1,A1,noun,-,,-,-
2440,01-2440-08-1,A1,noun,-,,-,-
2478,01-2478-12-1,A1,verb,-,,-,-
2478,01-2478-12-2,A1,verb,-,,-,-
2485,01-2485-08-1,A1,noun,-,,-,-
2487,01-2487-12-1,A1,verb,-,,-,-
2492,01-2492-08-1,A1,noun,-,,-,-
2492,01-2492-08-2,A1,noun,-,,-,-
2493,01-2493-08-1,A1,noun,-,,-,-
2503,01-2503-12-1,A1,verb,-,,-,-
2503,01-2503-12-2,A1,verb,-,,-,-
2511,01-2511-01-1,A1,adjective,-,,-,-
2511,01-2511-01-2,A1,adjective,-,,-,-
2511,01-2511-01-3,A1,adjective,-,,-,-
2511,01-2511-01-4,A1,adjective,-,,-,-
2511,01-2511-01-5,A1,adjective,-,,-,-
2511,01-2511-01-6,A1,adjective,-,,-,-
2512,01-2512-06-1,A1,exclamation,-,,-,-
2517,01-2517-06-1,A1,exclamation,-,,-,-
2513,01-2513-06-1,A1,exclamation,-,,-,-
2514,01-2514-06-1,A1,exclamation,-,,-,-
2515,01-2515-06-1,A1,exclamation,-,,-,-
2551,01-2551-08-1,A1,noun,-,,-,-
2554,01-2554-01-1,A1,adjective,-,,-,-
2559,01-2559-01-1,A1,adjective,-,,-,-
2562,01-2562-01-1,A1,adjective,-,,-,-
2575,01-2575-08-1,A1,noun,-,,-,-
2575,01-2575-08-2,A1,noun,-,,-,-
2591,01-2591-08-1,A1,noun,-,,-,-
2604,01-2604-08-1,A1,noun,-,,-,-
2613,01-2613-08-1,A1,noun,-,,-,-
2627,01-2627-01-1,A1,adjective,-,,-,-
2630,01-2630-01-1,A1,adjective,-,,-,-
2630,01-2630-02-2,A1,adverb,-,,-,-
2643,01-2643-08-1,A1,noun,-,,-,-
2648,01-2648-12-1,A1,verb,-,,-,-
2648,01-2648-12-2,A1,verb,-,,-,-
2648,01-2648-12-3,A1,verb,-,,-,-
2651,01-2651-11-1,A1,pronoun,-,,-,-
2652,01-2652-08-1,A1,noun,-,,-,-
2663,01-2663-12-1,A1,verb,-,,-,-
2680,01-2680-06-1,A1,exclamation,-,,-,-
2680,01-2680-06-2,A1,exclamation,-,,-,-
2682,01-2682-12-1,A1,verb,-,,-,-
2687,01-2687-11-1,A1,pronoun,-,,-,-
2687,01-2687-05-2,A1,determiner,-,,-,-
2689,01-2689-02-1,A1,adverb,-,,-,-
2689,01-2689-02-2,A1,adverb,-,,-,-
2698,01-2698-06-1,A1,exclamation,-,,-,-
2711,01-2711-11-1,A1,pronoun,-,,-,-
2718,01-2718-05-1,A1,determiner,-,,-,-
2730,01-2730-08-1,A1,noun,-,,-,-
2730,01-2730-08-2,A1,noun,-,,-,-
2733,01-2733-08-1,A1,noun,-,,-,-
2736,01-2736-08-1,A1,noun,-,,-,-
2759,01-2759-08-1,A1,noun,-,,-,-
2761,01-2761-08-1,A1,noun,-,,-,-
2768,01-2768-01-1,A1,adjective,-,,-,-
2769,01-2769-08-1,A1,noun,-,,-,-
2770,01-2770-08-1,A1,noun,-,,-,-
2772,01-2772-08-1,A1,noun,-,,-,-
2777,01-2777-02-1,A1,adverb,-,,-,-
2795,01-2795-01-1,A1,adjective,-,,-,-
2800,01-2800-08-1,A1,noun,-,,-,-
0016,01-0016-11-1,A1,pronoun,-,,-,-
2810,01-2810-08-1,A1,noun,-,,-,-
2876,01-2876-01-1,A1,adjective,-,,-,-
2892,01-2892-10-1,A1,preposition,-,,-,-
2892,01-2892-10-2,A1,preposition,-,,-,-
3013,01-3013-10-1,A1,preposition,-,,-,-
3065,01-3065-01-1,A1,adjective,-,,-,-
5869,01-5869-08-1,A1,noun,-,,-,-
3085,01-3085-10-1,A1,preposition,-,,-,-
3115,01-3115-12-1,A1,verb,-,,-,-
3137,01-3137-11-1,A1,pronoun,-,,-,-
3137,01-3137-11-2,A1,pronoun,-,,-,-
3141,01-3141-05-1,A1,determiner,-,,-,-
3143,01-3143-08-1,A1,noun,-,,-,-
0020,01-0020-08-1,A1,noun,-,,-,-
3153,01-3153-08-1,A1,noun,-,,-,-
3157,01-3157-08-1,A1,noun,-,,-,-
3173,01-3173-08-1,A1,noun,-,,-,-
0021,01-0021-08-1,A1,noun,-,,-,-
0022,01-0022-08-1,A1,noun,-,,-,-
3195,01-3195-08-1,A1,noun,-,,-,-
3197,01-3197-12-1,A1,verb,-,,-,-
3206,01-3206-08-1,A1,noun,-,,-,-
3213,01-3213-08-1,A1,noun,-,,-,-
3219,01-3219-08-1,A1,noun,-,,-,-
3224,01-3224-12-1,A1,verb,-,,-,-
3224,01-3224-12-2,A1,verb,-,,-,-
3249,01-3249-08-1,A1,noun,-,,-,-
3258,01-3258-01-1,A1,adjective,-,,-,-
3258,01-3258-01-2,A1,adjective,-,,-,-
3284,01-3284-12-1,A1,verb,-,,-,-
3289,01-3289-12-1,A1,verb,-,,-,-
3296,01-3296-08-1,A1,noun,-,,-,-
3315,01-3315-08-1,A1,noun,-,,-,-
3318,01-3318-08-1,A1,noun,-,,-,-
3332,01-3332-08-1,A1,noun,-,,-,-
3338,01-3338-01-1,A1,adjective,-,,-,-
3343,01-3343-12-1,A1,verb,-,,-,-
3359,01-3359-12-1,A1,verb,-,,-,-
3369,01-3369-01-1,A1,adjective,-,,-,-
3369,01-3369-01-2,A1,adjective,-,,-,-
3374,01-3374-08-1,A1,noun,-,,-,-
3393,01-3393-01-1,A1,adjective,-,,-,-
3393,01-3393-01-2,A1,adjective,-,,-,-
3401,01-3401-12-1,A1,verb,-,,-,-
3401,01-3401-12-2,A1,verb,-,,-,-
3413,01-3413-12-1,A1,verb,-,,-,-
3413,01-3413-12-2,A1,verb,-,,-,-
3413,01-3413-12-3,A1,verb,-,,-,-
3426,01-3426-08-1,A1,noun,-,,-,-
3453,01-3453-12-1,A1,verb,-,,-,-
3460,01-3460-08-1,A1,noun,-,,-,-
3472,01-3472-05-1,A1,determiner,-,,-,-
0024,01-0024-08-1,A1,noun,-,,-,-
0025,01-0025-08-1,A1,noun,-,,-,-
3509,01-3509-11-1,A1,pronoun,-,,-,-
3510,01-3510-08-1,A1,noun,-,,-,-
3518,01-3518-08-1,A1,noun,-,,-,-
3531,01-3531-12-1,A1,verb,-,,-,-
3531,01-3531-12-2,A1,verb,-,,-,-
3557,01-3557-08-1,A1,noun,-,,-,-
3577,01-3577-08-1,A1,noun,-,,-,-
3597,01-3597-08-1,A1,noun,-,,-,-
0026,01-0026-08-1,A1,noun,-,,-,-
3625,01-3625-08-1,A1,noun,-,,-,-
3626,01-3626-08-1,A1,noun,-,,-,-
0027,01-0027-08-1,A1,noun,-,,-,-
3640,01-3640-08-1,A1,noun,-,,-,-
3646,01-3646-08-1,A1,noun,-,,-,-
3646,01-3646-08-2,A1,noun,-,,-,-
3654,01-3654-05-1,A1,determiner,-,,-,-
3654,01-3654-05-2,A1,determiner,-,,-,-
3656,01-3656-08-1,A1,noun,-,,-,-
3662,01-3662-08-1,A1,noun,-,,-,-
3677,01-3677-08-1,A1,noun,-,,-,-
3680,01-3680-08-1,A1,noun,-,,-,-
0029,01-0029-08-1,A1,noun,-,,-,-
0028,01-0028-08-1,A1,noun,-,,-,-
3682,01-3682-05-1,A1,determiner,-,,-,-
3689,01-3689-08-1,A1,noun,-,,-,-
3697,01-3697-08-1,A1,noun,-,,-,-
3699,01-3699-08-1,A1,noun,-,,-,-
3707,01-3707-05-1,A1,determiner,-,,-,-
3716,01-3716-08-1,A1,noun,-,,-,-
3727,01-3727-08-1,A1,noun,-,,-,-
3738,01-3738-10-1,A1,preposition,-,,-,-
3748,01-3748-12-1,A1,verb,-,,-,-
3774,01-3774-02-1,A1,adverb,-,,-,-
3777,01-3777-01-1,A1,adjective,-,,-,-
3777,01-3777-01-2,A1,adjective,-,,-,-
3777,01-3777-01-3,A1,adjective,-,,-,-
3781,01-3781-08-1,A1,noun,-,,-,-
3786,01-3786-01-1,A1,adjective,-,,-,-
3786,01-3786-01-2,A1,adjective,-,,-,-
3790,01-3790-08-1,A1,noun,-,,-,-
3790,01-3790-08-2,A1,noun,-,,-,-
3794,01-3794-09-1,A1,number,-,,-,-
3795,01-3795-09-1,A1,number,-,,-,-
3798,01-3798-02-1,A1,adverb,-,,-,-
3798,01-3798-05-2,A1,determiner,-,,-,-
3803,01-3803-08-1,A1,noun,-,,-,-
3822,01-3822-08-1,A1,noun,-,,-,-
3827,01-3827-02-1,A1,adverb,-,,-,-
3827,01-3827-02-2,A1,adverb,-,,-,-
3830,01-3830-08-1,A1,noun,-,,-,-
0031,01-0031-08-1,A1,noun,-,,-,-
3845,01-3845-02-1,A1,adverb,-,,-,-
3850,01-3850-08-1,A1,noun,-,,-,-
3850,01-3850-08-2,A1,noun,-,,-,-
3850,01-3850-08-3,A1,noun,-,,-,-
0033,01-0033-08-1,A1,noun,-,,-,-
3893,01-3893-10-1,A1,preposition,-,,-,-
3893,01-3893-10-2,A1,preposition,-,,-,-
3893,01-3893-10-3,A1,preposition,-,,-,-
3893,01-3893-10-4,A1,preposition,-,,-,-
3907,01-3907-02-1,A1,adverb,-,,-,-
3908,01-3908-06-1,A1,exclamation,-,,-,-
3908,01-3908-06-2,A1,exclamation,-,,-,-
0032,01-0032-06-1,A1,exclamation,-,,-,-
0032,01-0032-01-2,A1,adjective,-,,-,-
3910,01-3910-01-1,A1,adjective,-,,-,-
3910,01-3910-01-2,A1,adjective,-,,-,-
3916,01-3916-10-1,A1,preposition,-,,-,-
3916,01-3916-10-2,A1,preposition,-,,-,-
3916,01-3916-10-3,A1,preposition,-,,-,-
3918,01-3918-09-1,A1,number,-,,-,-
3923,01-3923-02-1,A1,adverb,-,,-,-
3923,01-3923-01-2,A1,adjective,-,,-,-
3925,01-3925-01-1,A1,adjective,-,,-,-
3925,01-3925-12-2,A1,verb,-,,-,-
3946,01-3946-04-1,A1,conjunction,-,,-,-
3948,01-3948-01-1,A1,adjective,-,,-,-
3948,01-3948-08-2,A1,noun,-,,-,-
3967,01-3967-05-1,A1,determiner,-,,-,-
3970,01-3970-05-1,A1,determiner,-,,-,-
3990,01-3990-02-1,A1,adverb,-,,-,-
4034,01-4034-08-1,A1,noun,-,,-,-
4037,01-4037-08-1,A1,noun,-,,-,-
4037,01-4037-12-2,A1,verb,-,,-,-
4040,01-4040-08-1,A1,noun,-,,-,-
4049,01-4049-08-1,A1,noun,-,,-,-
4062,01-4062-08-1,A1,noun,-,,-,-
4063,01-4063-08-1,A1,noun,-,,-,-
4067,01-4067-08-1,A1,noun,-,,-,-
4079,01-4079-08-1,A1,noun,-,,-,-
4089,01-4089-10-1,A1,preposition,-,,-,-
4104,01-4104-12-1,A1,verb,-,,-,-
4122,01-4122-08-1,A1,noun,-,,-,-
4125,01-4125-08-1,A1,noun,-,,-,-
4131,01-4131-08-1,A1,noun,-,,-,-
4157,01-4157-08-1,A1,noun,-,,-,-
4167,01-4167-08-1,A1,noun,-,,-,-
4180,01-4180-08-1,A1,noun,-,,-,-
4180,01-4180-12-2,A1,verb,-,,-,-
4181,01-4181-08-1,A1,noun,-,,-,-
4193,01-4193-08-1,A1,noun,-,,-,-
4194,01-4194-08-1,A1,noun,-,,-,-
4198,01-4198-08-1,A1,noun,-,,-,-
4216,01-4216-08-1,A1,noun,-,,-,-
4217,01-4217-08-1,A1,noun,-,,-,-
4221,01-4221-08-1,A1,noun,-,,-,-
4224,01-4224-08-1,A1,noun,-,,-,-
4226,01-4226-08-1,A1,noun,-,,-,-
4229,01-4229-12-1,A1,verb,-,,-,-
4229,01-4229-12-2,A1,verb,-,,-,-
4230,01-4230-08-1,A1,noun,-,,-,-
4236,01-4236-06-1,A1,exclamation,-,,-,-
4027,01-4027-02-1,A1,adverb,-,,-,-
4281,01-4281-01-1,A1,adjective,-,,-,-
4303,01-4303-01-1,A1,adjective,-,,-,-
4314,01-4314-08-1,A1,noun,-,,-,-
4328,01-4328-12-1,A1,verb,-,,-,-
4422,01-4422-08-1,A1,noun,-,,-,-
4550,01-4550-08-1,A1,noun,-,,-,-
4554,01-4554-08-1,A1,noun,-,,-,-
4559,01-4559-01-1,A1,adjective,-,,-,-
4578,01-4578-08-1,A1,noun,-,,-,-
4583,01-4583-08-1,A1,noun,-,,-,-
4614,01-4614-12-1,A1,verb,-,,-,-
4619,01-4619-08-1,A1,noun,-,,-,-
4621,01-4621-01-1,A1,adjective,-,,-,-
4628,01-4628-02-1,A1,adverb,-,,-,-
4682,01-4682-01-1,A1,adjective,-,,-,-
4759,01-4759-12-1,A1,verb,-,,-,-
4838,01-4838-08-1,A1,noun,-,,-,-
4884,01-4884-08-1,A1,noun,-,,-,-
4888,01-4888-12-1,A1,verb,-,,-,-
4891,01-4891-01-1,A1,adjective,-,,-,-
4907,01-4907-08-1,A1,noun,-,,-,-
4908,01-4908-08-1,A1,noun,-,,-,-
4923,01-4923-08-1,A1,noun,-,,-,-
4952,01-4952-12-1,A1,verb,-,,-,-
4964,01-4964-01-1,A1,adjective,-,,-,-
4969,01-4969-01-1,A1,adjective,-,,-,-
4984,01-4984-08-1,A1,noun,-,,-,-
4986,01-4986-01-1,A1,adjective,-,,-,-
4991,01-4991-08-1,A1,noun,-,,-,-
0035,01-0035-08-1,A1,noun,-,,-,-
5008,01-5008-12-1,A1,verb,-,,-,-
5033,01-5033-08-1,A1,noun,-,,-,-
5053,01-5053-08-1,A1,noun,-,,-,-
5060,01-5060-09-1,A1,number,-,,-,-
5074,01-5074-12-1,A1,verb,-,,-,-
5074,01-5074-12-2,A1,verb,-,,-,-
5109,01-5109-12-1,A1,verb,-,,-,-
5120,01-5120-08-1,A1,noun,-,,-,-
0036,01-0036-08-1,A1,noun,-,,-,-
5143,01-5143-09-1,A1,number,-,,-,-
5144,01-5144-09-1,A1,number,-,,-,-
5174,01-5174-11-1,A1,pronoun,-,,-,-
5176,01-5176-08-1,A1,noun,-,,-,-
5187,01-5187-08-1,A1,noun,-,,-,-
5192,01-5192-08-1,A1,noun,-,,-,-
5195,01-5195-08-1,A1,noun,-,,-,-
5198,01-5198-08-1,A1,noun,-,,-,-
5200,01-5200-01-1,A1,adjective,-,,-,-
5200,01-5200-01-2,A1,adjective,-,,-,-
5212,01-5212-12-1,A1,verb,-,,-,-
5213,01-5213-08-1,A1,noun,-,,-,-
5213,01-5213-08-2,A1,noun,-,,-,-
5260,01-5260-12-1,A1,verb,-,,-,-
5269,01-5269-08-1,A1,noun,-,,-,-
5271,01-5271-12-1,A1,verb,-,,-,-
5275,01-5275-09-1,A1,number,-,,-,-
5276,01-5276-09-1,A1,number,-,,-,-
5293,01-5293-08-1,A1,noun,-,,-,-
5303,01-5303-12-1,A1,verb,-,,-,-
5310,01-5310-01-1,A1,adjective,-,,-,-
