Root,Serial,Level,part_of_speech,Addition,Explaination,ExplainationE,ExplainationC
001279,01-001279-08-1,A1,noun,-,,-,-
001287,01-001287-08-1,A1,noun,-,,-,-
001294,01-001294-08-1,A1,noun,-,,-,-
001316,01-001316-08-1,A1,noun,-,,-,-
001332,01-001332-08-1,A1,noun,-,,-,-
001354,01-001354-08-1,A1,noun,-,,-,-
001384,01-001384-08-1,A1,noun,-,,-,-
001391,01-001391-08-1,A1,noun,-,,-,-
001391,01-001391-12-2,A1,verb,-,,-,-
001393,01-001393-08-1,A1,noun,-,,-,-
001397,01-001397-01-1,A1,adjective,-,,-,-
001403,01-001403-08-1,A1,noun,-,,-,-
001405,01-001405-08-1,A1,noun,-,,-,-
001408,01-001408-08-1,A1,noun,-,,-,-
001423,01-001423-01-1,A1,adjective,-,,-,-
000011,01-000011-08-1,A1,noun,-,,-,-
001532,01-001532-08-1,A1,noun,-,,-,-
001579,01-001579-08-1,A1,noun,-,,-,-
001580,01-001580-12-1,A1,verb,-,,-,-
001585,01-001585-01-1,A1,adjective,-,,-,-
001588,01-001588-01-1,A1,adjective,-,,-,-
001602,01-001602-08-1,A1,noun,-,,-,-
001601,01-001601-08-1,A1,noun,-,,-,-
001721,01-001721-03-1,A1,auxiliary verb,-,,-,-
001721,01-001721-12-2,A1,verb,-,,-,-
001721,01-001721-12-3,A1,verb,-,,-,-
001723,01-001723-08-1,A1,noun,-,,-,-
001726,01-001726-08-1,A1,noun,-,,-,-
001727,01-001727-08-1,A1,noun,-,,-,-
001728,01-001728-08-1,A1,noun,-,,-,-
001741,01-001741-08-1,A1,noun,-,,-,-
001748,01-001748-02-1,A1,adverb,-,,-,-
001766,01-001766-12-1,A1,verb,-,,-,-
001773,01-001773-08-1,A1,noun,-,,-,-
001776,01-001776-08-1,A1,noun,-,,-,-
001776,01-001776-12-2,A1,verb,-,,-,-
001777,01-001777-12-1,A1,verb,-,,-,-
001778,01-001778-08-1,A1,noun,-,,-,-
000010,01-000010-08-1,A1,noun,-,,-,-
001803,01-001803-11-1,A1,pronoun,-,,-,-
001803,01-001803-05-2,A1,determiner,-,,-,-
001808,01-001808-08-1,A1,noun,-,,-,-
001810,01-001810-02-1,A1,adverb,-,,-,-
001820,01-001820-01-1,A1,adjective,-,,-,-
001822,01-001822-12-1,A1,verb,-,,-,-
001822,01-001822-12-2,A1,verb,-,,-,-
001850,01-001850-08-1,A1,noun,-,,-,-
001851,01-001851-09-1,A1,number,-,,-,-
001852,01-001852-09-1,A1,number,-,,-,-
001876,01-001876-09-1,A1,number,-,,-,-
001884,01-001884-08-1,A1,noun,-,,-,-
001884,01-001884-08-2,A1,noun,-,,-,-
001917,01-001917-08-1,A1,noun,-,,-,-
001936,01-001936-12-1,A1,verb,-,,-,-
002002,01-002002-08-1,A1,noun,-,,-,-
002008,01-002008-05-1,A1,determiner,-,,-,-
002008,01-002008-05-2,A1,determiner,-,,-,-
002027,01-002027-08-1,A1,noun,-,,-,-
002039,01-002039-01-1,A1,adjective,-,,-,-
002042,01-002042-01-1,A1,adjective,-,,-,-
002075,01-002075-01-1,A1,adjective,-,,-,-
002116,01-002116-08-1,A1,noun,-,,-,-
002123,01-002123-08-1,A1,noun,-,,-,-
002132,01-002132-08-1,A1,noun,-,,-,-
002147,01-002147-08-1,A1,noun,-,,-,-
002149,01-002149-01-1,A1,adjective,-,,-,-
002159,01-002159-08-1,A1,noun,-,,-,-
002168,01-002168-01-1,A1,adjective,-,,-,-
002171,01-002171-01-1,A1,adjective,-,,-,-
002174,01-002174-08-1,A1,noun,-,,-,-
002182,01-002182-01-1,A1,adjective,-,,-,-
000013,01-000013-08-1,A1,noun,-,,-,-
002197,01-002197-12-1,A1,verb,-,,-,-
002214,01-002214-09-1,A1,number,-,,-,-
002222,01-002222-08-1,A1,noun,-,,-,-
002231,01-002231-12-1,A1,verb,-,,-,-
002232,01-002232-01-1,A1,adjective,-,,-,-
002236,01-002236-12-1,A1,verb,-,,-,-
002236,01-002236-12-2,A1,verb,-,,-,-
002246,01-002246-01-1,A1,adjective,-,,-,-
002246,01-002246-02-2,A1,adverb,-,,-,-
002251,01-002251-08-1,A1,noun,-,,-,-
002251,01-002251-08-2,A1,noun,-,,-,-
002257,01-002257-09-1,A1,number,-,,-,-
002265,01-002265-08-1,A1,noun,-,,-,-
002279,01-002279-08-1,A1,noun,-,,-,-
002284,01-002284-08-1,A1,noun,-,,-,-
002292,01-002292-12-1,A1,verb,-,,-,-
002303,01-002303-08-1,A1,noun,-,,-,-
002307,01-002307-08-1,A1,noun,-,,-,-
002308,01-002308-08-1,A1,noun,-,,-,-
002308,01-002308-08-2,A1,noun,-,,-,-
002311,01-002311-10-1,A1,preposition,-,,-,-
002311,01-002311-10-2,A1,preposition,-,,-,-
002351,01-002351-09-1,A1,number,-,,-,-
002352,01-002352-09-1,A1,number,-,,-,-
000014,01-000014-08-1,A1,noun,-,,-,-
002379,01-002379-08-1,A1,noun,-,,-,-
002389,01-002389-10-1,A1,preposition,-,,-,-
002389,01-002389-10-2,A1,preposition,-,,-,-
002389,01-002389-10-3,A1,preposition,-,,-,-
002389,01-002389-10-4,A1,preposition,-,,-,-
002395,01-002395-08-1,A1,noun,-,,-,-
002410,01-002410-08-1,A1,noun,-,,-,-
002418,01-002418-01-1,A1,adjective,-,,-,-
002436,01-002436-08-1,A1,noun,-,,-,-
002440,01-002440-08-1,A1,noun,-,,-,-
002478,01-002478-12-1,A1,verb,-,,-,-
002478,01-002478-12-2,A1,verb,-,,-,-
002485,01-002485-08-1,A1,noun,-,,-,-
002487,01-002487-12-1,A1,verb,-,,-,-
002492,01-002492-08-1,A1,noun,-,,-,-
002492,01-002492-08-2,A1,noun,-,,-,-
002493,01-002493-08-1,A1,noun,-,,-,-
002503,01-002503-12-1,A1,verb,-,,-,-
002503,01-002503-12-2,A1,verb,-,,-,-
002511,01-002511-01-1,A1,adjective,-,,-,-
002511,01-002511-01-2,A1,adjective,-,,-,-
002511,01-002511-01-3,A1,adjective,-,,-,-
002511,01-002511-01-4,A1,adjective,-,,-,-
002511,01-002511-01-5,A1,adjective,-,,-,-
002511,01-002511-01-6,A1,adjective,-,,-,-
002512,01-002512-06-1,A1,exclamation,-,,-,-
002517,01-002517-06-1,A1,exclamation,-,,-,-
002513,01-002513-06-1,A1,exclamation,-,,-,-
002514,01-002514-06-1,A1,exclamation,-,,-,-
002515,01-002515-06-1,A1,exclamation,-,,-,-
002551,01-002551-08-1,A1,noun,-,,-,-
002554,01-002554-01-1,A1,adjective,-,,-,-
002559,01-002559-01-1,A1,adjective,-,,-,-
002562,01-002562-01-1,A1,adjective,-,,-,-
002575,01-002575-08-1,A1,noun,-,,-,-
002575,01-002575-08-2,A1,noun,-,,-,-
002591,01-002591-08-1,A1,noun,-,,-,-
002604,01-002604-08-1,A1,noun,-,,-,-
002613,01-002613-08-1,A1,noun,-,,-,-
002627,01-002627-01-1,A1,adjective,-,,-,-
002630,01-002630-01-1,A1,adjective,-,,-,-
002630,01-002630-02-2,A1,adverb,-,,-,-
002643,01-002643-08-1,A1,noun,-,,-,-
002648,01-002648-12-1,A1,verb,-,,-,-
002648,01-002648-12-2,A1,verb,-,,-,-
002648,01-002648-12-3,A1,verb,-,,-,-
002651,01-002651-11-1,A1,pronoun,-,,-,-
002652,01-002652-08-1,A1,noun,-,,-,-
002663,01-002663-12-1,A1,verb,-,,-,-
002680,01-002680-06-1,A1,exclamation,-,,-,-
002680,01-002680-06-2,A1,exclamation,-,,-,-
002682,01-002682-12-1,A1,verb,-,,-,-
002687,01-002687-11-1,A1,pronoun,-,,-,-
002687,01-002687-05-2,A1,determiner,-,,-,-
002689,01-002689-02-1,A1,adverb,-,,-,-
002689,01-002689-02-2,A1,adverb,-,,-,-
002698,01-002698-06-1,A1,exclamation,-,,-,-
002711,01-002711-11-1,A1,pronoun,-,,-,-
002718,01-002718-05-1,A1,determiner,-,,-,-
002730,01-002730-08-1,A1,noun,-,,-,-
002730,01-002730-08-2,A1,noun,-,,-,-
002733,01-002733-08-1,A1,noun,-,,-,-
002736,01-002736-08-1,A1,noun,-,,-,-
002759,01-002759-08-1,A1,noun,-,,-,-
002761,01-002761-08-1,A1,noun,-,,-,-
002768,01-002768-01-1,A1,adjective,-,,-,-
002769,01-002769-08-1,A1,noun,-,,-,-
002770,01-002770-08-1,A1,noun,-,,-,-
002772,01-002772-08-1,A1,noun,-,,-,-
002777,01-002777-02-1,A1,adverb,-,,-,-
002795,01-002795-01-1,A1,adjective,-,,-,-
002800,01-002800-08-1,A1,noun,-,,-,-
000016,01-000016-11-1,A1,pronoun,-,,-,-
002810,01-002810-08-1,A1,noun,-,,-,-
002876,01-002876-01-1,A1,adjective,-,,-,-
002892,01-002892-10-1,A1,preposition,-,,-,-
002892,01-002892-10-2,A1,preposition,-,,-,-
003013,01-003013-10-1,A1,preposition,-,,-,-
003065,01-003065-01-1,A1,adjective,-,,-,-
005869,01-005869-08-1,A1,noun,-,,-,-
003085,01-003085-10-1,A1,preposition,-,,-,-
003115,01-003115-12-1,A1,verb,-,,-,-
003137,01-003137-11-1,A1,pronoun,-,,-,-
003137,01-003137-11-2,A1,pronoun,-,,-,-
003141,01-003141-05-1,A1,determiner,-,,-,-
003143,01-003143-08-1,A1,noun,-,,-,-
000020,01-000020-08-1,A1,noun,-,,-,-
003153,01-003153-08-1,A1,noun,-,,-,-
003157,01-003157-08-1,A1,noun,-,,-,-
003173,01-003173-08-1,A1,noun,-,,-,-
000021,01-000021-08-1,A1,noun,-,,-,-
000022,01-000022-08-1,A1,noun,-,,-,-
003195,01-003195-08-1,A1,noun,-,,-,-
003197,01-003197-12-1,A1,verb,-,,-,-
003206,01-003206-08-1,A1,noun,-,,-,-
003213,01-003213-08-1,A1,noun,-,,-,-
003219,01-003219-08-1,A1,noun,-,,-,-
003224,01-003224-12-1,A1,verb,-,,-,-
003224,01-003224-12-2,A1,verb,-,,-,-
003249,01-003249-08-1,A1,noun,-,,-,-
003258,01-003258-01-1,A1,adjective,-,,-,-
003258,01-003258-01-2,A1,adjective,-,,-,-
003284,01-003284-12-1,A1,verb,-,,-,-
003289,01-003289-12-1,A1,verb,-,,-,-
003296,01-003296-08-1,A1,noun,-,,-,-
003315,01-003315-08-1,A1,noun,-,,-,-
003318,01-003318-08-1,A1,noun,-,,-,-
003332,01-003332-08-1,A1,noun,-,,-,-
003338,01-003338-01-1,A1,adjective,-,,-,-
003343,01-003343-12-1,A1,verb,-,,-,-
003359,01-003359-12-1,A1,verb,-,,-,-
003369,01-003369-01-1,A1,adjective,-,,-,-
003369,01-003369-01-2,A1,adjective,-,,-,-
003374,01-003374-08-1,A1,noun,-,,-,-
003393,01-003393-01-1,A1,adjective,-,,-,-
003393,01-003393-01-2,A1,adjective,-,,-,-
003401,01-003401-12-1,A1,verb,-,,-,-
003401,01-003401-12-2,A1,verb,-,,-,-
003413,01-003413-12-1,A1,verb,-,,-,-
003413,01-003413-12-2,A1,verb,-,,-,-
003413,01-003413-12-3,A1,verb,-,,-,-
003426,01-003426-08-1,A1,noun,-,,-,-
003453,01-003453-12-1,A1,verb,-,,-,-
003460,01-003460-08-1,A1,noun,-,,-,-
003472,01-003472-05-1,A1,determiner,-,,-,-
000024,01-000024-08-1,A1,noun,-,,-,-
000025,01-000025-08-1,A1,noun,-,,-,-
003509,01-003509-11-1,A1,pronoun,-,,-,-
003510,01-003510-08-1,A1,noun,-,,-,-
003518,01-003518-08-1,A1,noun,-,,-,-
003531,01-003531-12-1,A1,verb,-,,-,-
003531,01-003531-12-2,A1,verb,-,,-,-
003557,01-003557-08-1,A1,noun,-,,-,-
003577,01-003577-08-1,A1,noun,-,,-,-
003597,01-003597-08-1,A1,noun,-,,-,-
000026,01-000026-08-1,A1,noun,-,,-,-
003625,01-003625-08-1,A1,noun,-,,-,-
003626,01-003626-08-1,A1,noun,-,,-,-
000027,01-000027-08-1,A1,noun,-,,-,-
003640,01-003640-08-1,A1,noun,-,,-,-
003646,01-003646-08-1,A1,noun,-,,-,-
003646,01-003646-08-2,A1,noun,-,,-,-
003654,01-003654-05-1,A1,determiner,-,,-,-
003654,01-003654-05-2,A1,determiner,-,,-,-
003656,01-003656-08-1,A1,noun,-,,-,-
003662,01-003662-08-1,A1,noun,-,,-,-
003677,01-003677-08-1,A1,noun,-,,-,-
003680,01-003680-08-1,A1,noun,-,,-,-
000029,01-000029-08-1,A1,noun,-,,-,-
000028,01-000028-08-1,A1,noun,-,,-,-
003682,01-003682-05-1,A1,determiner,-,,-,-
003689,01-003689-08-1,A1,noun,-,,-,-
003697,01-003697-08-1,A1,noun,-,,-,-
003699,01-003699-08-1,A1,noun,-,,-,-
003707,01-003707-05-1,A1,determiner,-,,-,-
003716,01-003716-08-1,A1,noun,-,,-,-
003727,01-003727-08-1,A1,noun,-,,-,-
003738,01-003738-10-1,A1,preposition,-,,-,-
003748,01-003748-12-1,A1,verb,-,,-,-
003774,01-003774-02-1,A1,adverb,-,,-,-
003777,01-003777-01-1,A1,adjective,-,,-,-
003777,01-003777-01-2,A1,adjective,-,,-,-
003777,01-003777-01-3,A1,adjective,-,,-,-
003781,01-003781-08-1,A1,noun,-,,-,-
003786,01-003786-01-1,A1,adjective,-,,-,-
003786,01-003786-01-2,A1,adjective,-,,-,-
003790,01-003790-08-1,A1,noun,-,,-,-
003790,01-003790-08-2,A1,noun,-,,-,-
003794,01-003794-09-1,A1,number,-,,-,-
003795,01-003795-09-1,A1,number,-,,-,-
003798,01-003798-02-1,A1,adverb,-,,-,-
003798,01-003798-05-2,A1,determiner,-,,-,-
003803,01-003803-08-1,A1,noun,-,,-,-
003822,01-003822-08-1,A1,noun,-,,-,-
003827,01-003827-02-1,A1,adverb,-,,-,-
003827,01-003827-02-2,A1,adverb,-,,-,-
003830,01-003830-08-1,A1,noun,-,,-,-
000031,01-000031-08-1,A1,noun,-,,-,-
003845,01-003845-02-1,A1,adverb,-,,-,-
003850,01-003850-08-1,A1,noun,-,,-,-
003850,01-003850-08-2,A1,noun,-,,-,-
003850,01-003850-08-3,A1,noun,-,,-,-
000033,01-000033-08-1,A1,noun,-,,-,-
003893,01-003893-10-1,A1,preposition,-,,-,-
003893,01-003893-10-2,A1,preposition,-,,-,-
003893,01-003893-10-3,A1,preposition,-,,-,-
003893,01-003893-10-4,A1,preposition,-,,-,-
003907,01-003907-02-1,A1,adverb,-,,-,-
003908,01-003908-06-1,A1,exclamation,-,,-,-
003908,01-003908-06-2,A1,exclamation,-,,-,-
000032,01-000032-06-1,A1,exclamation,-,,-,-
000032,01-000032-01-2,A1,adjective,-,,-,-
003910,01-003910-01-1,A1,adjective,-,,-,-
003910,01-003910-01-2,A1,adjective,-,,-,-
003916,01-003916-10-1,A1,preposition,-,,-,-
003916,01-003916-10-2,A1,preposition,-,,-,-
003916,01-003916-10-3,A1,preposition,-,,-,-
003918,01-003918-09-1,A1,number,-,,-,-
003923,01-003923-02-1,A1,adverb,-,,-,-
003923,01-003923-01-2,A1,adjective,-,,-,-
003925,01-003925-01-1,A1,adjective,-,,-,-
003925,01-003925-12-2,A1,verb,-,,-,-
003946,01-003946-04-1,A1,conjunction,-,,-,-
003948,01-003948-01-1,A1,adjective,-,,-,-
003948,01-003948-08-2,A1,noun,-,,-,-
003967,01-003967-05-1,A1,determiner,-,,-,-
003970,01-003970-05-1,A1,determiner,-,,-,-
003990,01-003990-02-1,A1,adverb,-,,-,-
004034,01-004034-08-1,A1,noun,-,,-,-
004037,01-004037-08-1,A1,noun,-,,-,-
004037,01-004037-12-2,A1,verb,-,,-,-
004040,01-004040-08-1,A1,noun,-,,-,-
004049,01-004049-08-1,A1,noun,-,,-,-
004062,01-004062-08-1,A1,noun,-,,-,-
004063,01-004063-08-1,A1,noun,-,,-,-
004067,01-004067-08-1,A1,noun,-,,-,-
004079,01-004079-08-1,A1,noun,-,,-,-
004089,01-004089-10-1,A1,preposition,-,,-,-
004104,01-004104-12-1,A1,verb,-,,-,-
004122,01-004122-08-1,A1,noun,-,,-,-
004125,01-004125-08-1,A1,noun,-,,-,-
004131,01-004131-08-1,A1,noun,-,,-,-
004157,01-004157-08-1,A1,noun,-,,-,-
004167,01-004167-08-1,A1,noun,-,,-,-
004180,01-004180-08-1,A1,noun,-,,-,-
004180,01-004180-12-2,A1,verb,-,,-,-
004181,01-004181-08-1,A1,noun,-,,-,-
004193,01-004193-08-1,A1,noun,-,,-,-
004194,01-004194-08-1,A1,noun,-,,-,-
004198,01-004198-08-1,A1,noun,-,,-,-
004216,01-004216-08-1,A1,noun,-,,-,-
004217,01-004217-08-1,A1,noun,-,,-,-
004221,01-004221-08-1,A1,noun,-,,-,-
004224,01-004224-08-1,A1,noun,-,,-,-
004226,01-004226-08-1,A1,noun,-,,-,-
004229,01-004229-12-1,A1,verb,-,,-,-
004229,01-004229-12-2,A1,verb,-,,-,-
004230,01-004230-08-1,A1,noun,-,,-,-
004236,01-004236-06-1,A1,exclamation,-,,-,-
004027,01-004027-02-1,A1,adverb,-,,-,-
004281,01-004281-01-1,A1,adjective,-,,-,-
004303,01-004303-01-1,A1,adjective,-,,-,-
004314,01-004314-08-1,A1,noun,-,,-,-
004328,01-004328-12-1,A1,verb,-,,-,-
004422,01-004422-08-1,A1,noun,-,,-,-
004550,01-004550-08-1,A1,noun,-,,-,-
004554,01-004554-08-1,A1,noun,-,,-,-
004559,01-004559-01-1,A1,adjective,-,,-,-
004578,01-004578-08-1,A1,noun,-,,-,-
004583,01-004583-08-1,A1,noun,-,,-,-
004614,01-004614-12-1,A1,verb,-,,-,-
004619,01-004619-08-1,A1,noun,-,,-,-
004621,01-004621-01-1,A1,adjective,-,,-,-
004628,01-004628-02-1,A1,adverb,-,,-,-
004682,01-004682-01-1,A1,adjective,-,,-,-
004759,01-004759-12-1,A1,verb,-,,-,-
004838,01-004838-08-1,A1,noun,-,,-,-
004884,01-004884-08-1,A1,noun,-,,-,-
004888,01-004888-12-1,A1,verb,-,,-,-
004891,01-004891-01-1,A1,adjective,-,,-,-
004907,01-004907-08-1,A1,noun,-,,-,-
004908,01-004908-08-1,A1,noun,-,,-,-
004923,01-004923-08-1,A1,noun,-,,-,-
004952,01-004952-12-1,A1,verb,-,,-,-
004964,01-004964-01-1,A1,adjective,-,,-,-
004969,01-004969-01-1,A1,adjective,-,,-,-
004984,01-004984-08-1,A1,noun,-,,-,-
004986,01-004986-01-1,A1,adjective,-,,-,-
004991,01-004991-08-1,A1,noun,-,,-,-
000035,01-000035-08-1,A1,noun,-,,-,-
005008,01-005008-12-1,A1,verb,-,,-,-
005033,01-005033-08-1,A1,noun,-,,-,-
005053,01-005053-08-1,A1,noun,-,,-,-
005060,01-005060-09-1,A1,number,-,,-,-
005074,01-005074-12-1,A1,verb,-,,-,-
005074,01-005074-12-2,A1,verb,-,,-,-
005109,01-005109-12-1,A1,verb,-,,-,-
005120,01-005120-08-1,A1,noun,-,,-,-
000036,01-000036-08-1,A1,noun,-,,-,-
005143,01-005143-09-1,A1,number,-,,-,-
005144,01-005144-09-1,A1,number,-,,-,-
005174,01-005174-11-1,A1,pronoun,-,,-,-
005176,01-005176-08-1,A1,noun,-,,-,-
005187,01-005187-08-1,A1,noun,-,,-,-
005192,01-005192-08-1,A1,noun,-,,-,-
005195,01-005195-08-1,A1,noun,-,,-,-
005198,01-005198-08-1,A1,noun,-,,-,-
005200,01-005200-01-1,A1,adjective,-,,-,-
005200,01-005200-01-2,A1,adjective,-,,-,-
005212,01-005212-12-1,A1,verb,-,,-,-
005213,01-005213-08-1,A1,noun,-,,-,-
005213,01-005213-08-2,A1,noun,-,,-,-
005260,01-005260-12-1,A1,verb,-,,-,-
005269,01-005269-08-1,A1,noun,-,,-,-
005271,01-005271-12-1,A1,verb,-,,-,-
005275,01-005275-09-1,A1,number,-,,-,-
005276,01-005276-09-1,A1,number,-,,-,-
005293,01-005293-08-1,A1,noun,-,,-,-
005303,01-005303-12-1,A1,verb,-,,-,-
005310,01-005310-01-1,A1,adjective,-,,-,-
